VolumeID,Reads,Writes,TotalOps,ReadRatio(%)
1125,5371234,1565566,6936800,77.43
1488,5064883,258315,5323198,95.15
1418,4691158,867,4692025,99.98
3580,3369787,25118,3394905,99.26
1360,3260871,29153,3290024,99.11
1655,1960843,1145754,3106597,63.12
1533,182552,2531820,2714372,6.73
2009,1305532,337024,1642556,79.48
1326,1088862,461578,1550440,70.23
1351,1350583,185764,1536347,87.91
1063,1050523,362504,1413027,74.35
7315,18445,1149102,1167547,1.58
1108,668202,481437,1149639,58.12
2982,9699,1132355,1142054,0.85
6835,765727,243022,1008749,75.91
1765,905153,9558,914711,98.96
1458,275,813159,813434,0.03
2313,133747,674766,808513,16.54
1194,1696,787447,789143,0.21
8154,767950,15539,783489,98.02
4786,2410,739392,741802,0.32
4883,657333,46932,704265,93.34
3810,9792,689788,699580,1.40
6410,2077,694608,696685,0.30
1609,1503,679187,680690,0.22
4287,379794,269854,649648,58.46
1625,1373,648174,649547,0.21
3557,79383,562730,642113,12.36
1999,360388,275140,635528,56.71
1730,67641,561407,629048,10.75
9378,443364,180159,623523,71.11
1163,800,622439,623239,0.13
2079,310243,303236,613479,50.57
11549,357449,250182,607631,58.83
13198,404207,202994,607201,66.57
3135,346387,213511,559898,61.87
12704,351153,200404,551557,63.67
9855,408157,125274,533431,76.52
5710,11,527204,527215,0.00
17513,355101,170865,525966,67.51
2583,36863,486567,523430,7.04
5512,168,522339,522507,0.03
1121,387422,130810,518232,74.76
10564,292760,215154,507914,57.64
8526,321875,174084,495959,64.90
11609,322211,172232,494443,65.17
15804,347461,139784,487245,71.31
9850,10494,474490,484984,2.16
9476,319395,165114,484509,65.92
5592,227050,256882,483932,46.92
5242,335355,147031,482386,69.52
10116,139,476998,477137,0.03
1525,360597,116227,476824,75.62
13439,337354,132135,469489,71.86
5048,15353,440385,455738,3.37
7568,290968,164521,455489,63.88
2216,294608,149693,444301,66.31
1243,7,444054,444061,0.00
14833,229398,206314,435712,52.65
2754,102,433925,434027,0.02
10163,202612,229270,431882,46.91
3342,1835,429269,431104,0.43
5374,321403,101863,423266,75.93
4927,99,419784,419883,0.02
13039,287024,123644,410668,69.89
3109,220630,189934,410564,53.74
1394,4511,405961,410472,1.10
1282,294293,112702,406995,72.31
7015,280318,125946,406264,69.00
1548,358218,39971,398189,89.96
1084,364099,31212,395311,92.10
13811,205684,188792,394476,52.14
13435,182758,208762,391520,46.68
5513,268659,110879,379538,70.79
12461,280088,97490,377578,74.18
3915,228717,143534,372251,61.44
5390,174831,194578,369409,47.33
12217,173562,190331,363893,47.70
1468,338017,23123,361140,93.60
16357,161477,195962,357439,45.18
8039,168416,186631,355047,47.43
1475,178455,174767,353222,50.52
2017,170251,180771,351022,48.50
13286,159105,189740,348845,45.61
11784,166041,181955,347996,47.71
7449,43352,303051,346403,12.51
8809,160021,181178,341199,46.90
9440,130099,210427,340526,38.21
12726,163660,176121,339781,48.17
14207,155026,179791,334817,46.30
15138,242476,88922,331398,73.17
16739,322024,7593,329617,97.70
3841,313483,11626,325109,96.42
4111,129373,194684,324057,39.92
1498,265992,55247,321239,82.80
6554,147129,173331,320460,45.91
1586,152207,166917,319124,47.70
1662,1073,316406,317479,0.34
7510,146796,170044,316840,46.33
1505,147572,165686,313258,47.11
6234,147984,164227,312211,47.40
10226,131622,180032,311654,42.23
9863,125032,185229,310261,40.30
9194,131149,177810,308959,42.45
11648,143847,163916,307763,46.74
5002,123066,184525,307591,40.01
5927,99995,205747,305742,32.71
9884,222116,83414,305530,72.70
12455,9447,294040,303487,3.11
1205,3425,299731,303156,1.13
1164,200457,101211,301668,66.45
16023,145803,155264,301067,48.43
11634,137132,163600,300732,45.60
10992,280,299226,299506,0.09
1479,53434,245271,298705,17.89
5351,134242,164150,298392,44.99
4091,284468,12335,296803,95.84
2337,133661,162370,296031,45.15
4246,79061,216517,295578,26.75
19985,136211,158931,295142,46.15
7160,134586,159386,293972,45.78
15812,107652,183475,291127,36.98
12973,138532,152396,290928,47.62
2035,288329,2383,290712,99.18
3027,128231,161997,290228,44.18
7378,127575,161007,288582,44.21
13931,175772,112285,288057,61.02
22923,5879,281908,287787,2.04
3353,132324,152126,284450,46.52
10012,140306,143386,283692,49.46
6063,123779,159297,283076,43.73
1599,278457,2292,280749,99.18
9673,122788,156569,279357,43.95
16065,137253,141338,278591,49.27
3218,232327,43571,275898,84.21
11669,129896,145616,275512,47.15
1707,2109,273308,275417,0.77
3021,127337,148061,275398,46.24
3495,132962,140854,273816,48.56
3886,103228,169173,272401,37.90
11013,115137,154683,269820,42.67
3699,116965,151790,268755,43.52
9915,106453,162206,268659,39.62
20128,115126,149911,265037,43.44
4741,123921,138899,262820,47.15
5334,225700,37087,262787,85.89
11933,137406,124893,262299,52.39
5631,119284,142885,262169,45.50
13494,5635,251693,257328,2.19
3708,81573,174971,256544,31.80
1552,115675,140801,256476,45.10
21564,118639,137108,255747,46.39
4828,93274,159311,252585,36.93
11615,113718,138320,252038,45.12
3246,156180,95377,251557,62.09
1148,148102,103358,251460,58.90
10512,104668,146229,250897,41.72
11577,10,249933,249943,0.00
1344,11,248989,249000,0.00
3900,109202,139623,248825,43.89
2690,78010,166469,244479,31.91
17837,105319,138815,244134,43.14
3768,91030,151741,242771,37.50
5526,114426,127346,241772,47.33
3265,92406,148782,241188,38.31
2219,95434,144635,240069,39.75
6343,104983,134151,239134,43.90
15910,110137,128563,238700,46.14
16918,98607,138956,237563,41.51
8420,84825,152567,237392,35.73
3906,81762,154606,236368,34.59
4385,1368,234096,235464,0.58
1659,27849,206868,234717,11.86
1557,160718,72919,233637,68.79
13349,100338,132843,233181,43.03
2362,154962,77556,232518,66.65
2067,83951,147178,231129,36.32
2109,104686,126138,230824,45.35
1296,13852,215137,228989,6.05
13069,221960,6960,228920,96.96
10476,102504,125978,228482,44.86
3104,102900,125425,228325,45.07
8608,1217,226761,227978,0.53
4335,95588,132170,227758,41.97
7482,7184,215436,222620,3.23
4145,880,220800,221680,0.40
1802,98971,122412,221383,44.71
1894,1298,219783,221081,0.59
5388,93385,126893,220278,42.39
1699,69473,145791,215264,32.27
20052,97735,117382,215117,45.43
21054,100741,113635,214376,46.99
2627,1234,210562,211796,0.58
4377,79207,131848,211055,37.53
12309,2191,208752,210943,1.04
2075,91763,116992,208755,43.96
6524,94555,112978,207533,45.56
11569,70975,136058,207033,34.28
3443,83667,122005,205672,40.68
3084,98058,107475,205533,47.71
6814,94843,110364,205207,46.22
8043,1196,203981,205177,0.58
7312,6610,198444,205054,3.22
3308,5029,199963,204992,2.45
2376,92690,111896,204586,45.31
7519,6,203370,203376,0.00
21346,93174,107598,200772,46.41
3806,147678,52799,200477,73.66
2932,83829,115872,199701,41.98
1679,26797,171271,198068,13.53
12695,1109,196010,197119,0.56
13786,84956,110594,195550,43.44
12075,83857,111664,195521,42.89
12232,89148,105828,194976,45.72
1627,24687,170145,194832,12.67
1933,94213,99683,193896,48.59
7028,170384,23296,193680,87.97
3548,0,193487,193487,0.00
1214,1146,192111,193257,0.59
17644,97416,95836,193252,50.41
9372,70312,122487,192799,36.47
3963,0,192145,192145,0.00
3678,64418,127398,191816,33.58
1152,15,191564,191579,0.01
13057,102004,88822,190826,53.45
1261,1072,184317,185389,0.58
5858,113463,71889,185352,61.21
9133,150707,33505,184212,81.81
4116,77138,106943,184081,41.90
4838,84464,98339,182803,46.20
13495,112553,70085,182638,61.63
4514,181572,6,181578,100.00
5747,36891,141920,178811,20.63
21025,2315,175544,177859,1.30
12908,83785,93388,177173,47.29
5565,9384,167734,177118,5.30
9278,1615,175044,176659,0.91
3300,1072,173728,174800,0.61
17606,24,174615,174639,0.01
1252,1160,172958,174118,0.67
1874,35450,138229,173679,20.41
20398,1066,170047,171113,0.62
22164,835,170054,170889,0.49
7552,1822,168702,170524,1.07
1976,663,169186,169849,0.39
7101,0,165323,165323,0.00
2230,9459,155578,165037,5.73
3801,99107,65768,164875,60.11
7243,5760,158961,164721,3.50
1182,50835,113031,163866,31.02
19728,1147,161961,163108,0.70
5369,684,160258,160942,0.42
5318,2542,158061,160603,1.58
1497,1311,155669,156980,0.84
10927,66250,88673,154923,42.76
6362,932,153235,154167,0.60
14762,797,152365,153162,0.52
